"Date","Price","Open","High","Low","Vol","Change %"
"08/23/2023","1.3525","1.3550","1.3605","1.3520","","-0.18%"
"08/22/2023","1.3550","1.3545","1.3566","1.3513","","0.05%"
"08/21/2023","1.3543","1.3549","1.3574","1.3495","","-0.07%"
"08/18/2023","1.3552","1.3546","1.3576","1.3524","","0.05%"
"08/17/2023","1.3545","1.3538","1.3554","1.3496","","0.07%"
"08/16/2023","1.3535","1.3499","1.3546","1.3475","","0.28%"
"08/15/2023","1.3497","1.3462","1.3503","1.3439","","0.28%"
"08/14/2023","1.3459","1.3436","1.3482","1.3433","","0.16%"
"08/11/2023","1.3438","1.3443","1.3467","1.3412","","-0.05%"
"08/10/2023","1.3445","1.3420","1.3451","1.3372","","0.20%"
"08/09/2023","1.3418","1.3424","1.3455","1.3404","","-0.01%"
"08/08/2023","1.3420","1.3369","1.3503","1.3364","","0.40%"
"08/07/2023","1.3367","1.3372","1.3400","1.3355","","-0.04%"
"08/04/2023","1.3373","1.3354","1.3395","1.3319","","0.17%"
"08/03/2023","1.3350","1.3349","1.3379","1.3328","","0.01%"
"08/02/2023","1.3348","1.3279","1.3355","1.3265","","0.52%"
"08/01/2023","1.3279","1.3190","1.3302","1.3182","","0.70%"
"07/31/2023","1.3187","1.3233","1.3262","1.3151","","-0.50%"
"07/28/2023","1.3253","1.3224","1.3255","1.3201","","0.21%"
"07/27/2023","1.3225","1.3207","1.3245","1.3158","","0.14%"
"07/26/2023","1.3207","1.3168","1.3239","1.3167","","0.31%"
"07/25/2023","1.3166","1.3166","1.3211","1.3147","","0.00%"
"07/24/2023","1.3166","1.3220","1.3230","1.3149","","-0.42%"
"07/21/2023","1.3222","1.3175","1.3227","1.3153","","0.38%"
"07/20/2023","1.3172","1.3166","1.3196","1.3118","","0.06%"
"07/19/2023","1.3164","1.3168","1.3195","1.3155","","-0.02%"
"07/18/2023","1.3167","1.3197","1.3244","1.3167","","-0.22%"
"07/17/2023","1.3196","1.3215","1.3233","1.3160","","-0.15%"
"07/14/2023","1.3216","1.3116","1.3227","1.3091","","0.82%"
"07/13/2023","1.3109","1.3183","1.3196","1.3103","","-0.58%"
"07/12/2023","1.3185","1.3231","1.3235","1.3142","","-0.34%"
"07/11/2023","1.3230","1.3279","1.3291","1.3230","","-0.37%"
"07/10/2023","1.3279","1.3273","1.3305","1.3268","","0.06%"
"07/07/2023","1.3271","1.3368","1.3389","1.3266","","-0.72%"
"07/06/2023","1.3367","1.3280","1.3374","1.3274","","0.67%"
"07/05/2023","1.3278","1.3225","1.3294","1.3218","","0.42%"
"07/04/2023","1.3222","1.3250","1.3258","1.3203","","-0.19%"
"07/03/2023","1.3247","1.3242","1.3275","1.3230","","0.08%"
"06/30/2023","1.3236","1.3251","1.3285","1.3206","","-0.10%"
"06/29/2023","1.3249","1.3256","1.3287","1.3239","","-0.05%"
"06/28/2023","1.3256","1.3192","1.3278","1.3189","","0.50%"
"06/27/2023","1.3190","1.3153","1.3194","1.3116","","0.28%"
"06/26/2023","1.3153","1.3183","1.3186","1.3135","","-0.21%"
"06/23/2023","1.3181","1.3152","1.3227","1.3142","","0.25%"
"06/22/2023","1.3148","1.3161","1.3181","1.3138","","-0.11%"
"06/21/2023","1.3162","1.3234","1.3247","1.3157","","-0.54%"
"06/20/2023","1.3233","1.3214","1.3271","1.3205","","0.19%"
"06/19/2023","1.3208","1.3204","1.3230","1.3178","","0.08%"
"06/16/2023","1.3198","1.3220","1.3240","1.3177","","-0.18%"
"06/15/2023","1.3222","1.3322","1.3356","1.3209","","-0.75%"
"06/14/2023","1.3322","1.3316","1.3354","1.3271","","0.06%"
"06/13/2023","1.3314","1.3370","1.3379","1.3285","","-0.40%"
"06/12/2023","1.3368","1.3341","1.3385","1.3314","","0.20%"
